camper_id,first_name,last_name,age,camps,activities
1,Mei,Brown,14,"camp1,camp2",
2,Rania,Diallo,17,camp1,
3,Jamal,Abebe,11,"camp3,camp4",
4,Sofia,Petrov,14,,
5,Fatima,Al-Farsi,10,,
6,Santiago,Abebe,13,,
7,Mei,Ramos,8,,
8,Anaya,Petrov,10,,
9,Jordan,Martinez,14,,
10,Santiago,Brown,10,,
11,Mateo,Reddy,8,,
12,Fatima,Park,13,,
13,Alex,Abebe,13,,
14,Casey,Wong,10,,
15,Fatima,Silva,16,,
16,Kavya,Tanaka,11,,
17,Nia,Brown,12,,
18,Santiago,Fischer,17,,
19,Valentina,Mensah,10,,
20,Camila,Mensah,15,,
21,Hiroshi,Martinez,14,,
22,Noah,Okafor,13,,
23,Mila,Kamara,16,,
24,Rohan,Martinez,16,,
25,Isabella,Nair,9,,
26,Mariam,Kim,15,,
27,Omar,Torres,15,,
28,Camila,Rahman,15,,
29,Taylor,Ramos,12,,
30,Fatima,Ramos,17,,
31,Alex,Ramos,14,,
32,Kofi,Wong,8,,
33,Anaya,Kamara,16,,
34,Oliver,Abebe,16,,
35,Chen,Kim,8,,
36,Diego,Okafor,16,,
37,Casey,Diallo,16,,
38,Fatima,Patel,12,,
39,Mila,Torres,11,,
40,Oliver,Rahman,16,,
41,Rohan,Petrov,8,,
42,Chen,Okafor,15,,
43,Camila,Okafor,8,,
44,Eva,Patel,13,,
45,Rania,Patel,13,,
46,Aarav,Kamara,13,,
47,Tariq,Haddad,8,,
48,Rohan,Petrov,8,,
49,Aarav,Fischer,13,,
50,Hana,Tanaka,10,,
51,Yuki,Kim,10,,
52,Yuki,Sharma,14,,
53,Hiroshi,Ramos,14,,
54,Isabella,Ramos,13,,
55,Yuki,Ivanov,9,,
56,Mei,Rahman,8,,
57,Rohan,Okafor,17,,
58,Isha,Lopez,12,,
59,Layla,Patel,16,,
60,Amina,Abebe,16,,
61,Luca,Martinez,12,,
62,Kavya,Kim,16,,
63,Kavya,Brown,10,,
64,Rania,Petrov,15,,
65,Luca,Okafor,11,,
66,Mariam,Mensah,11,,
67,Santiago,Haddad,9,,
68,Kavya,Reddy,13,,
69,Hiroshi,Fischer,8,,
70,Luca,Petrov,13,,
71,Valentina,Haddad,12,,
72,Mariam,Torres,10,,
73,Aarav,Okafor,10,,
74,Isabella,Smith,10,,
75,Noah,Rahman,10,,
76,Alex,Patel,14,,
77,Sofia,Fischer,14,,
78,Tariq,Zhang,9,,
79,Mariam,Lopez,17,,
80,Yuki,Lopez,17,,
81,Mateo,Okafor,17,,
82,Amina,Torres,16,,
83,Eva,Silva,16,,
84,Diego,Ivanov,13,,
85,Valentina,Fischer,16,,
86,Eva,Ramos,13,,
87,Mariam,Sharma,8,,
88,Zuri,Wong,9,,
89,Mila,Nair,15,,
90,Taylor,Patel,10,,
91,Rania,Martinez,16,,
92,Jonas,Silva,14,,
93,Alex,Abebe,9,,
94,Jamal,Kim,14,,
95,Luca,Ivanov,15,,
96,Isha,Brown,11,,
97,Valentina,Haddad,9,,
98,Taylor,Haddad,8,,
99,Santiago,Torres,15,,
100,Hiroshi,Nair,17,,
101,Camila,Fischer,11,,
102,Rohan,Abebe,11,,
103,Jordan,Sharma,14,,
104,Camila,Haddad,17,,
105,Rohan,Diallo,10,,
106,Hiroshi,Lopez,12,,
107,Sora,Ivanov,17,,
108,Mateo,Al-Farsi,8,,
109,Omar,Petrov,12,,
110,Luca,Brown,10,,
111,Kavya,Haddad,17,,
112,Li,Mensah,11,,
113,Isabella,Okafor,9,,
114,Santiago,Nair,9,,
115,Kofi,Patel,8,,
116,Kofi,Kim,8,,
117,Mila,Ramos,8,,
118,Valentina,Torres,11,,
119,Jamal,Patel,17,,
120,Eva,Nair,14,,
121,Luca,Zhang,17,,
122,Isabella,Nair,8,,
123,Mateo,Mensah,12,,
124,Tariq,Garcia,11,,
125,Aarav,Fischer,9,,
126,Mei,Garcia,13,,
127,Camila,Brown,15,,
128,Emma,Torres,15,,
129,Rania,Park,12,,
130,Eva,Okafor,10,,
131,Kwame,Haddad,15,,
132,Rohan,Sharma,15,,
133,Rania,Kamara,9,,
134,Hassan,Ramos,10,,
135,Isabella,Nair,8,,
136,Alex,Al-Farsi,14,,
137,Kwame,Okafor,14,,
138,Aarav,Petrov,16,,
139,Alex,Petrov,14,,
140,Amina,Fischer,12,,
141,Kavya,Park,17,,
142,Eva,Wong,10,,
143,Kofi,Petrov,14,,
144,Yuki,Brown,15,,
145,Noah,Martinez,8,,
146,Kavya,Smith,12,,
147,Mei,Abebe,16,,
148,Fatima,Patel,15,,
149,Yusuf,Torres,9,,
150,Layla,Haddad,8,,
151,Omar,Martinez,8,,
152,Isabella,Nair,10,,
153,Anaya,Haddad,9,,
154,Sora,Martinez,17,,
155,Isabella,Kim,11,,
156,Omar,Abebe,14,,
157,Sora,Rahman,10,,
158,Valentina,Park,11,,
159,Sam,Ivanov,17,,
160,Kofi,Garcia,8,,
161,Layla,Park,10,,
162,Sofia,Torres,16,,
163,Vihaan,Fischer,16,,
164,Hiroshi,Kamara,12,,
165,Tariq,Wong,14,,
166,Hassan,Kim,10,,
167,Mila,Al-Farsi,9,,
168,Noah,Petrov,10,,
169,Casey,Brown,14,,
170,Camila,Martinez,8,,
171,Rohan,Lopez,12,,
172,Jordan,Tanaka,12,,
173,Isabella,Kamara,12,,
174,Isabella,Brown,13,,
175,Diego,Ramos,12,,
176,Layla,Wong,9,,
177,Taylor,Ivanov,17,,
178,Jamal,Mensah,13,,
179,Yusuf,Sharma,15,,
180,Mila,Kamara,14,,
181,Mateo,Rahman,17,,
182,Taylor,Petrov,9,,
183,Kwame,Lopez,10,,
184,Yuki,Rahman,16,,
185,Sam,Kamara,15,,
